Node Count,Node ID,Lifetime (s),Battery Initial (mJ),Battery Remaining (mJ),Status
25,1,8775,8800,25,Alive
25,2,8679,8800,77,Alive
25,3,8797,8800,0,Dead
25,4,8800,8800,22,Alive
25,5,8665,8800,123,Alive
25,6,8665,8800,102,Alive
25,7,8800,8800,0,Dead
25,8,8800,8800,38,Alive
25,9,8630,8800,179,Alive
25,10,8781,8800,0,Dead
25,11,8630,8800,128,Alive
25,12,8630,8800,209,Alive
25,13,8736,8800,66,Alive
25,14,8413,8800,338,Alive
25,15,8441,8800,392,Alive
25,16,8616,8800,225,Alive
25,17,8548,8800,261,Alive
25,18,8747,8800,73,Alive
25,19,8564,8800,229,Alive
25,20,8488,8800,269,Alive
25,21,8800,8800,0,Dead
25,22,8666,8800,118,Alive
25,23,8710,8800,117,Alive
25,24,8486,8800,344,Alive
25,25,8618,8800,167,Alive
30,1,8667,8800,123,Alive
30,2,8735,8800,42,Alive
30,3,8544,8800,212,Alive
30,4,8443,8800,379,Alive
30,5,8597,8800,224,Alive
30,6,8581,8800,180,Alive
30,7,8660,8800,123,Alive
30,8,8624,8800,158,Alive
30,9,8800,8800,0,Dead
30,10,8755,8800,17,Alive
30,11,8624,8800,187,Alive
30,12,8514,8800,323,Alive
30,13,8800,8800,0,Dead
30,14,8768,8800,80,Alive
30,15,8800,8800,0,Dead
30,16,8690,8800,145,Alive
30,17,8800,8800,40,Alive
30,18,8719,8800,65,Alive
30,19,8663,8800,151,Alive
30,20,8424,8800,424,Alive
30,21,8758,8800,38,Alive
30,22,8523,8800,304,Alive
30,23,8573,8800,179,Alive
30,24,8643,8800,107,Alive
30,25,8609,8800,145,Alive
30,26,8416,8800,423,Alive
30,27,8531,8800,232,Alive
30,28,8790,8800,0,Dead
30,29,8752,8800,6,Alive
30,30,8755,8800,73,Alive
35,1,8626,8800,181,Alive
35,2,8540,8800,261,Alive
35,3,8591,8800,170,Alive
35,4,8387,8800,401,Alive
35,5,8756,8800,0,Dead
35,6,8736,8800,16,Alive
35,7,8603,8800,202,Alive
35,8,8520,8800,310,Alive
35,9,8376,8800,432,Alive
35,10,8482,8800,269,Alive
35,11,8712,8800,39,Alive
35,12,8568,8800,273,Alive
35,13,8536,8800,267,Alive
35,14,8675,8800,161,Alive
35,15,8774,8800,71,Alive
35,16,8639,8800,207,Alive
35,17,8647,8800,103,Alive
35,18,8800,8800,0,Dead
35,19,8626,8800,125,Alive
35,20,8554,8800,248,Alive
35,21,8701,8800,92,Alive
35,22,8562,8800,277,Alive
35,23,8545,8800,236,Alive
35,24,8791,8800,28,Alive
35,25,8556,8800,225,Alive
35,26,8202,8800,615,Alive
35,27,8652,8800,152,Alive
35,28,8541,8800,283,Alive
35,29,8557,8800,248,Alive
35,30,8668,8800,98,Alive
35,31,8575,8800,212,Alive
35,32,8632,8800,141,Alive
35,33,8297,8800,521,Alive
35,34,8459,8800,388,Alive
35,35,8800,8800,19,Alive
40,1,8733,8800,82,Alive
40,2,8492,8800,311,Alive
40,3,8484,8800,300,Alive
40,4,8607,8800,222,Alive
40,5,8800,8800,10,Alive
40,6,8562,8800,228,Alive
40,7,8488,8800,361,Alive
40,8,8679,8800,103,Alive
40,9,8658,8800,159,Alive
40,10,8407,8800,375,Alive
40,11,8470,8800,293,Alive
40,12,8714,8800,56,Alive
40,13,8614,8800,183,Alive
40,14,8180,8800,589,Alive
40,15,8622,8800,135,Alive
40,16,8689,8800,67,Alive
40,17,8424,8800,392,Alive
40,18,8652,8800,114,Alive
40,19,8800,8800,0,Dead
40,20,8609,8800,188,Alive
40,21,8456,8800,369,Alive
40,22,8472,8800,336,Alive
40,23,8552,8800,283,Alive
40,24,8607,8800,164,Alive
40,25,8559,8800,220,Alive
40,26,8625,8800,162,Alive
40,27,8528,8800,272,Alive
40,28,8577,8800,226,Alive
40,29,8695,8800,62,Alive
40,30,8390,8800,386,Alive
40,31,8566,8800,210,Alive
40,32,8566,8800,281,Alive
40,33,8688,8800,82,Alive
40,34,8516,8800,263,Alive
40,35,8648,8800,198,Alive
40,36,8715,8800,62,Alive
40,37,8273,8800,540,Alive
40,38,8725,8800,121,Alive
40,39,8402,8800,416,Alive
40,40,8386,8800,424,Alive
45,1,8800,8800,0,Dead
45,2,8495,8800,322,Alive
45,3,8498,8800,257,Alive
45,4,8529,8800,316,Alive
45,5,8591,8800,252,Alive
45,6,8448,8800,348,Alive
45,7,8591,8800,257,Alive
45,8,8208,8800,596,Alive
45,9,8550,8800,239,Alive
45,10,8508,8800,293,Alive
45,11,8467,8800,298,Alive
45,12,8429,8800,333,Alive
45,13,8409,8800,370,Alive
45,14,8378,8800,390,Alive
45,15,8152,8800,614,Alive
45,16,8460,8800,352,Alive
45,17,8664,8800,104,Alive
45,18,8450,8800,391,Alive
45,19,8595,8800,212,Alive
45,20,8338,8800,466,Alive
45,21,8304,8800,535,Alive
45,22,8387,8800,452,Alive
45,23,8346,8800,465,Alive
45,24,8323,8800,449,Alive
45,25,8567,8800,191,Alive
45,26,8767,8800,0,Dead
45,27,8400,8800,350,Alive
45,28,8246,8800,561,Alive
45,29,8599,8800,151,Alive
45,30,8285,8800,498,Alive
45,31,8323,8800,522,Alive
45,32,8574,8800,223,Alive
45,33,8475,8800,363,Alive
45,34,8397,8800,353,Alive
45,35,8510,8800,255,Alive
45,36,8439,8800,371,Alive
45,37,8783,8800,30,Alive
45,38,8399,8800,413,Alive
45,39,8363,8800,455,Alive
45,40,8432,8800,339,Alive
45,41,8438,8800,404,Alive
45,42,8589,8800,227,Alive
